jersey_number,nationality_name,name,birth,high,weight
1,Denmark,Kasper Schmeichel,05.11.1986,185,76
16,Denmark,Oliver Christensen,22.03.1999,190,82
22,Denmark,Frederik Roennow,04.08.1992,190,79
2,Denmark,Joachim Andersen,31.05.1996,192,90
4,Denmark,Simon Kjaer,26.03.1989,190,86
6,Denmark,Andreas Christensen,10.04.1996,187,82
13,Denmark,Rasmus Kristensen,11.07.1997,186,74
5,Denmark,Joakim Mæhle,20.05.1997,184,79
19,Denmark,Wind,07.02.1999,186,76
3,Denmark,Victor Nelsson,14.10.1998,185,75
7,Denmark,Mathias Jensen,01.01.1996,178,74
8,Denmark,Thomas Delaney,03.09.1991,182,79
10,Denmark,Christian Eriksen,14.02.1992,182,71
11,Denmark,Skov Olsen,29.12.1999,176,70
14,Denmark,Damsgaard M.,03.07.2000,176,70
15,Denmark,Christian Nørgaard,10.03.1994,185,85
17,Denmark,Larsen J.,21.02.1991,180,74
18,Denmark,Daniel Wass,31.05.1989,181,74
23,Denmark,Pierre-Emile Hojbjerg,05.08.1995,185,84
24,Denmark,Robert Skov,20.05.1996,185,78
25,Denmark,Jesper Lindstrøm,29.02.2000,182,66
9,Denmark,Martin Braithwaite,05.06.1991,177,73
12,Denmark,Kasper Dolberg,06.10.1997,186,75
20,Denmark,Yussuf Poulsen,15.06.1994,192,84
21,Denmark,Andreas Cornelius,16.03.1993,193,91
26,Denmark,Alexander Bah,09.12.1997,183,79
1,Belgium,Thibaut Courtois,11.05.1992,199,96
12,Belgium,Simon Mignolet,06.08.1988,193,88
13,Belgium,Koen Casteels,25.06.1992,197,83
2,Belgium,Toby Alderweireld,02.03.1989,186,81
3,Belgium,Arthur Theate,25.05.2000,191,81
4,Belgium,Wout Faes,03.04.1998,187,82
5,Belgium,Jan Vertonghen,24.04.1987,189,79
15,Belgium,Thomas Meunier,12.09.1991,190,82
18,Belgium,Amadou Onana,16.08.2001,192,85
19,Belgium,Leander Dendoncker,25.04.1995,188,76
21,Belgium,Timothy Castagne,05.12.1995,180,80
26,Belgium,Debast,24.10.2003,191,83
6,Belgium,Axel Witsel,12.01.1989,186,81
7,Belgium,Kevin De Bruyne,28.06.1991,181,68
8,Belgium,Youri Tielemans,07.05.1997,176,72
11,Belgium,Carrasco,04.09.1993,181,72
14,Belgium,Dries Mertens,06.05.1987,169,61
16,Belgium,Thorgan Hazard,29.03.1993,175,71
20,Belgium,Hans Vanaken,24.08.1992,194,77
22,Belgium,Charles De Ketelaere,10.03.2001,185,74
10,Belgium,Eden Hazard,07.01.1991,175,74
9,Belgium,Romelu Lukaku,13.05.1993,191,95
17,Belgium,Leandro Trossard,04.12.1994,172,69
23,Belgium,Michy Batshuayi,02.10.1993,185,91
24,Belgium,Lois Openda,16.02.2000,174,66
25,Belgium,Jeremy Doku,27.05.2002,171,61
1,Morocco,Yassine Bounou,05.04.1991,195,80
12,Morocco,Munir,10.05.1989,189,79
22,Morocco,Ahmed Tagnaouti,05.04.1996,186,70
2,Morocco,Achraf Hakimi,04.11.1998,181,73
5,Morocco,Nayef Aguerd,30.03.1996,188,79
18,Morocco,Jawad El Yamiq,29.02.1992,192,82
20,Morocco,Achraf Dari,06.05.1999,188,0
24,Morocco,Badr Benoun,30.09.1993,193,79
8,Morocco,Azzedine Ounahi,19.04.2000,182,72
3,Morocco,Noussair Mazraoui,14.11.1997,178,74
4,Morocco,Sofyan Amrabat,21.08.1996,185,70
6,Morocco,Romain Saiss,26.03.1990,188,84
11,Morocco,Abdelhamid Sabiri,28.11.1996,186,80
13,Morocco,Ilias Chair,30.10.1997,171,68
16,Morocco,Abde Ezzalzouli,17.12.2001,177,70
17,Morocco,Sofiane Boufal,17.09.1993,170,60
26,Morocco,Yahya Jabrane,02.07.1991,0,0
7,Morocco,Hakim Ziyech,19.03.1993,181,65
15,Morocco,Selim Amallah,15.11.1996,180,70
23,Morocco,Bilal El Khannouss,10.05.2004,0,0
9,Morocco,Abderrazak Hamed-Allah,17.12.1990,179,71
10,Belgium,Anass Zaroury,07.11.2000,166,58
14,Morocco,Zakaria Aboukhlal,18.02.2000,179,74
19,Morocco,Youssef En Nesyri,01.06.1997,188,73
21,Morocco,Walid Cheddira,22.01.1998,187,0
25,Morocco,Yahia Attiyat-Allah,02.03.1995,176,70
1,Ecuador,Hernán Galíndez,30.03.1987,188,90
12,Ecuador,Moisés Ramírez,09.09.2000,185,0
22,Ecuador,Alexander Dominguez,05.06.1987,195,80
3,Ecuador,Piero Hincapié,09.01.2002,184,66
4,Ecuador,Arboleda,22.10.1991,178,70
7,Ecuador,Pervis Estupiñán,21.01.1998,175,73
14,Ecuador,Xavier Arreaga,28.09.1994,183,75
17,Ecuador,Angelo Preciado,18.02.1998,178,74
18,Ecuador,Palacios D.,12.07.1999,169,65
25,Ecuador,Jackson Porozo,04.08.2000,192,88
2,Ecuador,Félix Torres,11.01.1997,188,78
5,Ecuador,José Cifuentes,12.03.1999,179,0
6,Ecuador,William Pacho,16.10.2001,187,81
8,Ecuador,Gruezo,19.04.1995,173,71
9,Ecuador,Ayrton Preciado,17.07.1994,182,71
15,Ecuador,Mena,21.01.1988,168,67
16,Ecuador,Jeremy Sarmiento,16.06.2002,183,72
20,Ecuador,Jhegson Méndez,26.04.1997,180,70
21,Ecuador,Alan Franco,21.08.1998,176,67
23,Ecuador,Moisés Caicedo,02.11.2001,178,73
10,Ecuador,Romario Ibarra,24.09.1994,174,76
11,Ecuador,Michael Estrada,07.04.1996,184,78
13,Ecuador,Enner Valencia,04.11.1989,179,79
19,Ecuador,Gonzalo Plata,01.11.2000,178,64
24,Ecuador,Djorkaeff Reasco,18.01.1999,172,0
26,Ecuador,Kevin Rodríguez,04.03.2000,190,0
1,Saudi Arabia,Mohammed Al-Rubai,14.08.1997,0,0
21,Saudi Arabia,Mohammed Al-Owais,10.10.1991,187,82
22,Saudi Arabia,Nawaf Al-Aqidi,10.05.2000,188,0
2,Saudi Arabia,Sultan Al-Ghannam,06.05.1994,173,0
3,Saudi Arabia,Abdullah Madu,15.07.1993,186,0
4,Saudi Arabia,Abdulelah Al-Amri,15.01.1997,183,0
5,Saudi Arabia,Ali Al-Bulayhi,21.11.1989,182,80
6,Saudi Arabia,Mohammed Al-Breik,15.09.1992,0,0
12,Saudi Arabia,Saud Abdulhamid,18.07.1999,178,0
13,Saudi Arabia,Yasser Al-Shahrani,25.05.1992,171,62
17,Saudi Arabia,Hassan Tambakti,09.02.1999,182,0
24,Saudi Arabia,Nasser Al-Dawsari,19.12.1998,178,0
15,Saudi Arabia,Ali Al-Hassan,04.03.1997,176,0
26,Saudi Arabia,Riad Sharahili,28.04.1993,185,0
7,Saudi Arabia,Salman Al-Faraj,01.08.1989,180,72
8,Saudi Arabia,Abdulelah Al-Malki,11.10.1994,170,0
10,Saudi Arabia,Salem Al-Dawsari,19.08.1991,175,62
14,Saudi Arabia,Abdullah Otayf,03.08.1992,177,68
18,Saudi Arabia,Nawaf Al-Abed,26.01.1990,0,0
19,Saudi Arabia,Hattan Bahebri,16.07.1992,170,68
23,Saudi Arabia,Mohamed Kanno,22.09.1994,191,73
16,Saudi Arabia,Sami Al-Najei,07.02.1997,181,0
20,Saudi Arabia,Abdulrahman Al-Oboud,10.06.1995,174,0
9,Saudi Arabia,Firas Al-Buraikan,14.05.2000,181,0
11,Saudi Arabia,Saleh Al-Shehri,01.11.1993,184,0
25,Saudi Arabia,Muhannad Assiri,14.10.1986,178,69
1,Netherlands,Remko Pasveer,08.11.1983,188,88
13,Netherlands,Justin Bijlow,22.01.1998,188,83
23,Netherlands,Andries Noppert,07.04.1994,203,94
2,Netherlands,Jurrien Timber,17.06.2001,179,75
3,Netherlands,Matthijs de Ligt,12.08.1999,189,89
4,Netherlands,van Dijk,08.07.1991,193,80
5,Netherlands,Nathan Ake,18.02.1995,180,73
6,Netherlands,Stefan de Vrij,05.02.1992,189,78
16,Netherlands,Tyrell Malacia,17.08.1999,173,67
17,Netherlands,Daley Blind,09.03.1990,176,72
22,Netherlands,Denzel Dumfries,18.04.1996,189,81
26,England,Jeremie Frimpong,10.12.2000,172,64
20,Netherlands,Teun Koopmeiners,28.02.1998,184,78
21,Netherlands,Frenkie de Jong,12.05.1997,180,74
15,Netherlands,Marten de Roon,29.03.1991,185,76
24,Netherlands,Kenneth Taylor,16.05.2002,178,70
25,Netherlands,Xavi Simons,21.04.2003,166,70
10,Netherlands,Memphis Depay,13.02.1994,176,78
12,Netherlands,Lang N.,17.06.1999,178,74
7,Netherlands,Steven Bergwijn,08.10.1997,178,78
8,Netherlands,Cody Gakpo,07.05.1999,179,76
9,Netherlands,Luuk de Jong,27.08.1990,188,87
11,Netherlands,Steven Berghuis,19.12.1991,183,75
14,Netherlands,Davy Klaassen,21.02.1993,179,70
18,Netherlands,Vincent Janssen,15.06.1994,180,79
19,Netherlands,Wout Weghorst,07.08.1992,197,84
1,Iran,Alireza Beiranvand,21.09.1992,196,85
12,Iran,Payam Niazmand,06.04.1995,194,84
22,Iran,Amir Abedzadeh,26.04.1993,186,86
24,Iran,Hossein Hosseini,30.06.1992,189,0
2,Iran,Sadegh Moharrami,01.03.1996,179,70
4,Iran,Shoja Khalilzadeh,14.05.1989,183,0
5,Iran,Milad Mohammadi,29.09.1993,178,79
8,Iran,Morteza Pouraliganji,19.04.1992,185,79
13,Iran,Hossein Kanaani,23.03.1994,0,0
15,Iran,Rouzbeh Cheshmi,24.07.1993,190,83
19,Iran,Majid Hosseini,20.06.1996,183,78
23,Iran,Ramin Rezaeian,21.03.1990,185,80
25,Iran,Abolfazl Jalali,26.06.1998,177,0
18,Iran,Ali Karimi,11.02.1994,186,75
3,Iran,Ehsan Hajsafi,25.02.1990,176,68
6,Iran,Saeid Ezatolahi,01.10.1996,183,75
11,Iran,Vahid Amiri,02.04.1988,183,79
16,Iran,Mehdi Torabi,10.09.1994,185,71
17,Iran,Ali Gholizadeh,10.03.1996,176,72
21,Iran,Ahmad Nourollahi,01.02.1993,185,0
7,Iran,Alireza Jahanbakhsh,11.08.1993,181,78
9,Iran,Mehdi Taremi,18.07.1992,187,80
10,Iran,Karim Ansarifard,03.04.1990,185,85
14,Iran,Saman Ghoddos,06.09.1993,176,75
20,Iran,Sardar Azmoun,01.01.1995,187,83
1,Croatia,Dominik Livaković,09.01.1995,186,79
12,Croatia,Ivo Grbić,18.01.1996,196,83
23,Croatia,Ivica Ivušić,01.02.1995,195,85
2,Croatia,Josip Stanišić,02.04.2000,186,77
3,Croatia,Borna Barišić,10.11.1992,186,80
5,Croatia,Martin Erlić,24.01.1998,192,85
6,Croatia,Dejan Lovren,05.07.1989,188,84
19,Croatia,Borna Sosa,21.01.1998,186,77
20,Croatia,Josko Gvardiol,23.01.2002,185,82
21,Croatia,Domagoj Vida,29.04.1989,184,73
22,Croatia,Josip Juranović,16.08.1995,175,68
24,Croatia,Josip Šutalo,28.02.2000,190,82
4,Croatia,Ivan Perišić,02.02.1989,186,80
7,Croatia,Lovro Majer,17.01.1998,179,73
8,Croatia,Mateo Kovacic,06.05.1994,178,80
10,Croatia,Luka Modric,09.09.1985,172,66
11,Croatia,Marcelo Brozovic,16.11.1992,181,73
13,Croatia,Nikola Vlasic,04.10.1997,178,79
15,Croatia,Mario Pasalic,09.02.1995,188,82
25,Croatia,Luka Sucic,08.09.2002,185,80
26,Croatia,Kristijan Jakić,14.05.1997,181,78
9,Croatia,Andrej Kramaric,19.06.1991,177,73
14,Croatia,Marko Livaja,26.08.1993,183,72
16,Croatia,Bruno Petković,16.09.1994,192,88
17,Croatia,Mario Budimir,22.07.1991,190,75
18,Croatia,Mislav Oršić,29.12.1992,175,66
1,Argentina,Franco Armani,16.10.1986,189,85
12,Argentina,Geronimo Rulli,20.05.1992,189,80
23,Argentina,Emiliano Martinez,02.09.1992,190,90
2,Argentina,Juan Foyth,12.01.1998,179,69
3,Argentina,Nicolás Tagliafico,31.08.1992,172,65
4,Argentina,Gonzalo Montiel,01.01.1997,175,70
6,Argentina,Germán Pezzella,27.06.1991,187,82
13,Argentina,Romero C.,27.04.1998,185,79
19,Argentina,Nicolas Otamendi,12.02.1988,183,78
25,Argentina,Lisandro Martínez,18.01.1998,178,77
26,Argentina,Nahuel Molina,02.12.1997,175,70
18,Argentina,Guido Rodríguez,12.04.1994,185,78
5,Argentina,Leandro Paredes,29.06.1994,180,75
7,Argentina,Rodrigo De Paul,24.05.1994,178,78
8,Argentina,Marcos Acuña,28.10.1991,172,66
11,Argentina,Angel Di Maria,14.02.1988,180,75
14,Argentina,Exequiel Palacios,05.10.1998,177,70
15,Argentina,Ángel Correa,09.03.1995,171,70
20,Argentina,Mac Allister A.,24.12.1998,176,70
24,Argentina,Enzo Fernandez,17.01.2001,18,75
16,Argentina,Almada,26.04.2001,171,0
9,Argentina,Julián Álvarez,31.01.2000,170,71
10,Argentina,Lionel Messi,24.06.1987,170,72
17,Argentina,Alejandro Gomez,15.02.1988,167,68
21,Argentina,Paulo Dybala,15.11.1993,177,73
22,Argentina,Lautaro Martínez,22.09.1997,174,72
0,Portugal,Rui Patricio,15.02.1988,190,84
0,Portugal,José Sá,17.01.1993,192,84
0,Portugal,Costa D.,19.09.1999,186,80
0,Portugal,Pepe,26.02.1983,188,81
0,Portugal,Raphael Guerreiro,22.12.1993,170,71
0,Portugal,Joao Cancelo,27.05.1994,182,80
0,Portugal,William Carvalho,07.04.1992,187,79
0,Portugal,Diogo Dalot,18.03.1999,184,75
0,Portugal,Nuno Mendes,19.06.2002,183,62
4,Portugal,Rúben Dias,14.05.1997,187,83
24,Portugal,Antonio Silva,30.10.2003,187,0
0,Portugal,Vitinha F.,13.02.2000,172,65
0,Portugal,Bruno Fernandes,08.09.1994,179,74
0,Portugal,Bernardo Silva,10.08.1994,173,70
0,Portugal,Ruben Neves,13.03.1997,180,80
0,Portugal,Danilo Pereira,09.09.1991,188,80
0,Portugal,Otávio,09.02.1995,172,65
0,Portugal,João Palhinha,09.07.1995,190,83
0,Portugal,Matheus Nunes,27.08.1998,183,78
17,Portugal,Joao Mario,19.01.1993,179,72
23,Portugal,Félix J.,10.11.1999,181,70
0,Portugal,Cristiano Ronaldo,05.02.1985,185,75
0,Portugal,Horta R.,15.09.1994,173,71
0,Portugal,Rafael Leão,10.06.1999,188,81
9,Portugal,André Silva,06.11.1995,184,78
9,Portugal,Ramos G.,20.06.2001,185,77
1,Wales,Wayne Hennessey,24.01.1987,198,90
12,Wales,Danny Ward,22.06.1993,191,88
21,Wales,Adam Davies,17.07.1992,185,75
2,Wales,Chris Gunter,21.07.1989,180,71
3,Wales,Neco Williams,13.04.2001,176,70
4,Wales,Ben Davies,24.04.1993,180,70
6,Wales,Joseph Rodon,22.10.1997,193,0
14,Wales,Connor Roberts,23.09.1995,175,71
17,Wales,Lockyer,03.12.1994,184,72
22,Wales,Chris Mepham,05.11.1997,191,85
24,Wales,Benjamin Cabango,30.05.2000,188,81
7,Wales,Joe Allen,14.03.1990,168,65
8,Wales,Matthew Smith,22.11.1999,175,70
9,Wales,Brennan Johnson,23.05.2001,181,71
10,Wales,Aaron Ramsey,26.12.1990,178,76
15,Wales,Ethan Ampadu,14.09.2000,183,78
16,Wales,Joseff Morrell,03.01.1997,186,77
18,Wales,Jonathan Williams,09.10.1993,165,65
20,Wales,Daniel James,10.11.1997,171,76
23,Wales,Dylan Levitt,17.11.2000,180,74
25,Wales,Rubin Colwill,27.04.2002,183,75
8,Wales,Harry Wilson,22.03.1997,173,70
11,Wales,Gareth Bale,16.07.1989,185,82
13,Wales,Kieffer Moore,08.08.1992,196,83
19,Wales,Harris M.,29.12.1998,182,75
22,Wales,Sorba Thomas,22.08.1999,180,75
1,Germany,Manuel Neuer,27.03.1986,193,92
12,Germany,Kevin Trapp,08.07.1990,189,88
22,Germany,ter Stegen,30.04.1992,187,85
2,Germany,Antonio Rüdiger,03.03.1993,190,85
5,Germany,Thilo Kehrer,21.09.1996,186,76
15,Germany,Niklas Süle,03.09.1995,195,97
20,Germany,Christian Günter,28.02.1993,185,88
23,Germany,Nico Schlotterbeck,01.12.1999,191,86
25,Germany,Armel Bella-Kotchap,11.12.2001,190,87
16,Germany,Lukas Klostermann,03.06.1996,187,88
3,Germany,David Raum,22.04.1998,180,75
4,Germany,Matthias Ginter,19.01.1994,187,72
6,Germany,Joshua Kimmich,08.02.1995,176,73
7,Germany,Kai Havertz,11.06.1999,189,82
8,Germany,Leon Goretzka,06.02.1995,189,76
10,Germany,Serge Gnabry,14.07.1995,175,75
11,Germany,Mario Götze,03.06.1992,176,75
13,Germany,Thomas Muller,13.09.1989,186,75
17,Germany,Julian Brandt,02.05.1996,185,83
18,Germany,Jonas Hofmann,14.07.1992,176,67
19,Germany,Leroy Sane,11.01.1996,183,80
21,Germany,Ilkay Gundogan,24.10.1990,178,80
14,Germany,Jamal Musiala,26.02.2003,164,54
9,Germany,Niclas Füllkrug,09.02.1993,189,83
24,Germany,Karim Adeyemi,18.01.2002,177,67
26,Germany,Youssoufa Moukoko,20.11.2004,172,75
1,Switzerland,Yann Sommer,17.12.1988,183,77
12,Switzerland,Jonas Omlin,10.01.1994,189,80
21,Switzerland,Gregor Kobel,06.12.1997,196,88
21,Switzerland,Philipp Köhn,02.04.1998,191,75
0,Switzerland,Fabian Rieder,16.02.2002,173,64
3,Switzerland,Silvan Widmer,05.03.1993,183,79
4,Switzerland,Nico Elvedi,30.09.1996,188,83
